27	大数据实习生	中原区	15:15发布	5k-8k	5k-8k 经验不限 / 大专	大数据 Hadoop Spark Storm	“能力优秀者待遇更好”	VR丨AR / 未融资 / 150-500人	聚才科技
28	新媒体运营	郑东新区	15:33发布	6k-8k	6k-8k 经验1-3年 / 大专	汽车 微信运营 微博运营	“工作餐 带薪年假”	移动互联网 / 未融资 / 150-500人	河南友途实业有限公司
29	大数据开发工程师	高新区	08:23发布	9k-15k	9k-15k 经验3-5年 / 本科	数据仓库 数仓建模 数仓架构 Hadoop	“升职空间、学习提升、技术大牛”	物联网,其他 / 上市公司 / 150-500人	汉威智慧安全
30	用户运营	金水区	10:22发布	6k-12k	6k-12k 经验1-3年 / 本科	活动运营 裂变拉新 C端用户运营	“五险一金，升职加薪”	移动互联网,消费生活 / B轮 / 500-2000人	UU跑腿
31	销售经理	金水区	04:10发布	10k-20k	10k-20k 经验3-5年 / 大专	商务拓展 BD	“六险一金，弹性工作，带薪休假，扁平管理”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
32	商品运营经理	金水区	2020-12-14	16k-25k	16k-25k 经验3-5年 / 不限	电商 新零售 运营 品类运营 商家运营 市场	“滴滴”	汽车丨出行 / 不需要融资 / 2000人以上	滴滴
33	SEM助理/网络推广助理实习生应届生	二七区	09:15发布	3k-6k	3k-6k 经验不限 / 大专	广告营销 医疗健康 推广 SEM 线上推广 品牌推广	“每年两次调薪、有人带、福利好”	医疗丨健康 / 未融资 / 50-150人	妙慈药业
34	策略研究岗 / 量化分析师	经开区	09:55发布	10k-15k	10k-15k 经验1-3年 / 硕士	基金	“优秀的共事团队，更全面的资本市场学习机会”	金融 / 未融资 / 少于15人	钜源基金
35	VIP运营	航海中路	10:24发布	5k-7k	5k-7k 经验1-3年 / 不限	运营 会员体系	“绩效奖金 节日福利”	移动互联网,数据服务 / 不需要融资 / 15-50人	忠客
36	HRBP-组织与人才发展方向 （商业化）	金水区	04:04发布	25k-30k	25k-30k 经验不限 / 本科	人事 招聘 员工关系 薪酬福利 HRBP	“餐补,租房补贴,带薪休假,下午茶”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
37	京东运营店长	中原区	1天前发布	8k-15k	8k-15k 经验3-5年 / 大专	电商运营 京东运营 O2O运营 产品运营	“年终奖励、晋升透明”	电商 / 未融资 / 150-500人	郑州文祺电商
38	社群运营	金水区	1天前发布	6k-10k	6k-10k 经验1年以下 / 本科	教育 互联网 用户留存 裂变拉新 转化变现 用户运营	“高薪，晋升空间大，福利完善，导师一对一带教”	教育 / 未融资 / 500-2000人	心田花开
39	产品运营主管/经理（用户增长/策略向）	中原区	2天前发布	10k-15k	10k-15k 经验3-5年 / 本科	用户增长 运营	“公司发展前景好，团队实力强”	移动互联网,游戏 / B轮 / 500-2000人	安徽省刀锋网络科技有限公司
40	大数据人工智能开发实习	高新区	2天前发布	3k-5k	3k-5k 经验在校/应届 / 本科	ETL 数据仓库 数仓建模 数仓架构	“五险一金+带薪休假”	教育,数据服务 / 未融资 / 150-500人	云和数据
41	运营专员	金水区	3天前发布	6k-12k	6k-12k 经验1-3年 / 本科	用户增长 用户留存 裂变拉新 内容审核	“福利补贴 + 节日福利 + 出差补贴 + 项目奖金”	金融 / 不需要融资 / 150-500人	江海沐晖
42	平台运营	经开区	3天前发布	15k-25k	15k-25k 经验5-10年 / 本科	电商 新零售 运营管理	“职位晋升空间大”	软件开发 / 不需要融资 / 50-150人	联合王货
43	运营助理/专员	金水区	3天前发布	4k-6k	4k-6k 经验不限 / 不限	电商 直播 电商运营	“有运营手把手教”	其他 / 未融资 / 50-150人	民尔生物
44	大数据开发助理	金水区	3天前发布	3k-5k	3k-5k 经验在校/应届 / 本科	Hadoop Spark MySQL	“五险一金，双休，住宿”	数据服务,软件开发 / 不需要融资 / 50-150人	磐星网络
45	美团外卖运营	北环	2020-12-24	6k-10k	6k-10k 经验不限 / 不限	商家运营 活动运营 运营 数据分析	“节假日带薪休假，五险一金，节日福利”	企业服务、电商 / 未融资 / 15-50人	外迈信息
46	运营专员	燕庄	2020-12-24	4k-6k	4k-6k 经验不限 / 大专	运营	“入职缴纳五险一金 超长带薪年假”	消费生活,移动互联网 / A轮 / 2000人以上	五八到家有限公司
