26	数据分析师	海珠区	10:03发布	8k-13k	8k-13k 经验1-3年 / 本科	移动互联网 商业 可视化	“团队耐斯 架构扁平 千万级项目”	移动互联网,文娱丨内容 / B轮 / 150-500人	触漫
27	数据分析师	琶洲	10:07发布	7k-14k	7k-14k 经验1-3年 / 本科	数据分析 数据埋点	“六险一金、周末双休、贴心餐补、零食畅享”	社交 / A轮 / 150-500人	微咔世纪
28	数据分析师	荔湾区	10:45发布	18k-28k	18k-28k 经验5-10年 / 本科	电商 数据分析 Tableau ETL整合数据	“晋升空间广 福利待遇佳 市中心方位”	移动互联网,电商 / 不需要融资 / 500-2000人	上海联蔚数字科技集团股份有限公司
29	数据分析师	登峰	10:03发布	5k-10k	5k-10k 经验不限 / 本科	数据分析 SQL	“年度旅游,月度活动,五险一金,绩效奖金”	移动互联网,企业服务 / 不需要融资 / 50-150人	广东智源
30	数据分析师	登峰	10:03发布	5k-10k	5k-10k 经验不限 / 本科	数据分析 SQL	“年度旅游,月度活动,五险一金,绩效奖金”	移动互联网,企业服务 / 不需要融资 / 50-150人	广东智源
31	数据分析师	天河区	09:11发布	8k-12k	8k-12k 经验1-3年 / 本科	数据分析	“五险一金,年终奖金,带薪年假,周末双休”	数据服务 / 上市公司 / 500-2000人	广州南天
32	数据分析师	天河区	10:01发布	6k-9k	6k-9k 经验1-3年 / 本科	电商 大数据	“双休，五险一金，年终奖金，餐饮补贴”	移动互联网,硬件 / 天使轮 / 50-150人	丹霄技术
33	数据分析实习生	天河北	11:15发布	3k-4k	3k-4k 经验在校/应届 / 本科	数据分析 数据运营	“成熟型业务用户量大，牛人多，福利好，氛围好”	信息安全 / 上市公司 / 2000人以上	360
34	游戏数据分析师	石牌	19:02发布	8k-15k	8k-15k 经验不限 / 本科	游戏 数据分析	“五险一金,餐饮补贴,专业培训,年终奖金”	游戏 / 不需要融资 / 500-2000人	4399游戏
35	bi数据分析师	五山	18:42发布	12k-24k	12k-24k 经验1-3年 / 本科	大数据 工具软件 数据仓库 数仓架构 Hadoop Spark	“大牛带导 丰厚年终 五险一金 年度旅游”	移动互联网 / 不需要融资 / 150-500人	广州新视展投资咨询有限公司
36	商务助理/数据分析岗	天河区	17:37发布	4k-6k	4k-6k 经验不限 / 大专	数据分析 市场分析 行业分析 市场竞争分析	“上市公司、五险一金、周末双休、明星见面会”	文娱丨内容 / 上市公司 / 2000人以上	金逸影视
37	数据分析工程师	龙溪	18:01发布	8k-15k	8k-15k 经验3-5年 / 大专	电商 数据挖掘	“行业前景 ，双休，五险一金+商业意外险”	电商 / A轮 / 500-2000人	蓝深科技
38	游戏数据分析师	海珠区	19:00发布	12k-20k	12k-20k 经验在校/应届 / 本科	游戏 MySQL Python	“高速业务发展 大平台 游戏行业”	移动互联网,游戏 / 不需要融资 / 500-2000人	阿里互动娱乐事业群
39	汽车行业数据分析师	天河区	17:30发布	10k-15k	10k-15k 经验1-3年 / 本科	汽车 大数据 行业分析 数据分析 消费者分析 市场竞争分析	“扁平式管理 导师制实习模式 互联网氛围”	数据服务 / B轮 / 150-500人	DataStory
40	推广与数据分析专员	客村	18:33发布	5k-10k	5k-10k 经验不限 / 本科	数据分析 网站分析 网络推广 电商运营	“国际大牌零售客户 数据赋能商业价值”	电商 / 未融资 / 500-2000人	青木科技
41	数据建模/数据可视化	海珠区	15:05发布	10k-20k	10k-20k 经验3-5年 / 不限	数仓建模	“国企 五险一金 周末双休”	通讯电子 / 不需要融资 / 2000人以上	广东亿迅
42	数据分析助理	东环	13:55发布	4k-6k	4k-6k 经验在校/应届 / 大专	电商 数据分析 业务分析	“英雄联盟文化 竞岗晋升”	电商 / 不需要融资 / 150-500人	四季沐歌
43	数据分析师（医学大数据）	天河区	17:52发布	16k-18k	16k-18k 经验3-5年 / 硕士	医疗健康 大数据 深度学习 临床数据分析	“事业单位正式合同聘用”	人工智能,区块链 / 不需要融资 / 15-50人	广东顺德中山大学卡内基梅隆大学国际联合研究院
44	数据运营（数据分析）	南沙区	14:08发布	10k-16k	10k-16k 经验3-5年 / 本科	汽车 移动互联网	“运营生态，领导好”	汽车丨出行 / A轮 / 150-500人	广汽蔚来
45	数据分析师	天河区	09:34发布	10k-15k	10k-15k 经验1-3年 / 大专	数据分析	“五险一金 年终奖金 节日礼品 餐费补贴”	游戏 / 天使轮 / 150-500人	BBGAME
46	资深数据分析师-GZ	冼村	14:36发布	12k-20k	12k-20k 经验1-3年 / 本科	大数据 广告营销 运营 用户增长 数据分析	“高密度优秀人才 扁平 开放 发展空间大”	移动互联网,广告营销 / D轮及以上 / 150-500人	深演智能
47	游戏数据分析师-广州	天河区	15:58发布	15k-20k	15k-20k 经验1-3年 / 本科	游戏 数据分析	“大平台”	电商 / 上市公司 / 2000人以上	网易
48	市场数据分析师	天河城	18:57发布	5k-10k	5k-10k 经验在校/应届 / 本科	游戏	“五险一金,股票期权,年终奖励,目标奖励”	移动互联网,游戏 / 不需要融资 / 150-500人	冰鸟
49	电商数据分析师	天河区	16:48发布	8k-10k	8k-10k 经验1-3年 / 本科	市场 数据分析	“晋升空间 五险一金 双休 带薪年假”	其他 / 上市公司 / 2000人以上	维达纸业（中国）有限公司
50	游戏数据分析师(J9SG1)	海珠区	14:13发布	15k-25k	15k-25k 经验3-5年 / 本科	游戏 运营 数据分析 游戏运营	“六险一金, 团队氛围好, 晋升空间大、下午茶”	游戏,移动互联网 / 不需要融资 / 150-500人	大蓝网络
51	资深游戏数据分析师	天河区	15:58发布	20k-35k	20k-35k 经验3-5年 / 本科	游戏 Hive	“大平台”	电商 / 上市公司 / 2000人以上	网易
52	数据分析师 (MJ003570)	番禺区	14:05发布	15k-30k	15k-30k 经验3-5年 / 本科	数据分析	“健身房；餐补；免费咖啡”	文娱丨内容 / 上市公司 / 2000人以上	欢聚集团（JOYY Inc.）
53	数据分析高级主管（客服中心方向）	天河北	14:17发布	10k-12k	10k-12k 经验1-3年 / 本科	电商 大数据 数仓建模 数据仓库 数据挖掘 数据库开发	“业务发展迅猛 扁平化团队”	电商 / A轮 / 500-2000人	全球购骑士特权
54	数据分析工程师	天河区	11:49发布	10k-20k	10k-20k 经验5-10年 / 本科	Spark Flink Java Scala	“专业培训；周末双休；五险一金；节日福利”	企业服务,信息安全 / 上市公司 / 500-2000人	广东广信通信服务有限公司
55	管理培训生（数据分析类）	天河区	16:48发布	6k-8k	6k-8k 经验在校/应届 / 本科	数据分析	“公司重点项目，人才发展平台”	其他 / 上市公司 / 2000人以上	维达纸业（中国）有限公司
56	高级数据分析师 (MJ002859)	番禺区	14:05发布	25k-45k	25k-45k 经验5-10年 / 本科	数据分析	“健身房；餐补；免费咖啡”	文娱丨内容 / 上市公司 / 2000人以上	欢聚集团（JOYY Inc.）
57	资深数据分析工程师	嘉禾	11:38发布	15k-25k	15k-25k 经验3-5年 / 本科	云计算 大数据 商业 数据库 可视化 数据分析	“双休、五险一金、项目奖金、公司定期旅游”	移动互联网,人工智能 / B轮 / 50-150人	美业颜究院
58	数据分析工程师	海珠区	10:38发布	12k-24k	12k-24k 经验3-5年 / 本科	大数据 移动互联网 数据挖掘	“大数据,数据分析,数据挖掘,数据处理”	其他 / 上市公司 / 50-150人	数立方
59	PowerBI数据分析师	天河区	12:16发布	10k-20k	10k-20k 经验在校/应届 / 本科	ETL 数据分析 SQLServer	“外资企业，福利优厚，五险一金，员工持股”	移动互联网,数据服务 / 上市公司 / 500-2000人	友邦科技
60	数据分析师 (MJ000083)	天河区	10:15发布	15k-25k	15k-25k 经验3-5年 / 本科	电商 数据分析	“团队靠谱、薪酬福利健全”	电商,企业服务 / 不需要融资 / 500-2000人	搜款网 VVIC
61	PTBU-数据分析师	东圃	09:55发布	15k-25k	15k-25k 经验3-5年 / 本科	音乐 直播	“餐饮补贴 大平台 五险一金 年终奖”	文娱丨内容 / 上市公司 / 500-2000人	酷狗音乐
62	游戏数据分析师	天河区	10:21发布	8k-13k	8k-13k 经验不限 / 本科	可视化 数据分析 数据运营 SQL	“双休 成长快 薪酬福利好”	游戏 / 上市公司 / 50-150人	Goat Games
63	高级数据分析师(J10166)	珠江新城	10:24发布	15k-30k	15k-30k 经验1-3年 / 本科	数据分析	“六险一金、包三餐、大牛多”	游戏 / 不需要融资 / 500-2000人	趣丸
64	数据分析工程师	官洲	09:04发布	12k-20k	12k-20k 经验1-3年 / 本科	医疗方案经理	“发展前景好，薪酬福利好”	移动互联网,医疗丨健康 / 不需要融资 / 500-2000人	联通（广东）产业互联网...
65	数据分析师助理	越秀区	16:12发布	6k-8k	6k-8k 经验1-3年 / 大专	证券/期货 互联网金融 行业研究 分析师 风控	“前景广阔，提升自我”	金融 / 不需要融资 / 50-150人	盈力咨询
66	电商数据分析主任	岭南	11:01发布	8k-9k	8k-9k 经验3-5年 / 本科	电商 数据分析	“公司福利优渥，发展前景大”	电商 / 上市公司 / 2000人以上	谢瑞麟珠宝
67	《56万顶薪》数据分析工程师01	海珠区	10:26发布	18k-28k	18k-28k 经验不限 / 本科	游戏 Java Python 数据挖掘 算法工程师	“五险一金 双休 带薪年假”	游戏 / 不需要融资 / 150-500人	上海敬游软件
68	数据分析经理（业务增长）(J10206)	珠江新城	10:24发布	25k-50k	25k-50k 经验不限 / 本科	建模 算法	“包三餐 五险一金 弹性工作等”	游戏 / 不需要融资 / 500-2000人	趣丸
69	车辆数据分析测试工程师	岗顶	10:04发布	6k-10k	6k-10k 经验不限 / 本科	数据分析	“周末双休 包3餐 季度奖金 年终奖 团建活动”	移动互联网,游戏 / B轮 / 150-500人	火烈鸟网络
70	数据分析专家	黄埔区	1天前发布	15k-30k	15k-30k 经验5-10年 / 本科	电商 大数据 BI 数据分析	“平台大 氛围轻松 福利完善 五险一金”	电商,物流丨运输 / 不需要融资 / 500-2000人	卓志
71	hrbp助理（纯做招聘方向）会数据分析优先	天河区	14:29发布	6k-9k	6k-9k 经验1-3年 / 本科	电商 社交 HRBP 招聘 绩效考核 HR	“晋升空间大 多福利 五险一金 双休”	电商 / B轮 / 500-2000人	微革网络
72	安全大数据分析	建设	10:16发布	30k-50k	30k-50k 经验10年以上 / 本科	信息安全 数据分析 安全大数据	“薪资福利，公司氛围好”	信息安全 / B轮 / 50-150人	中科物安
73	商品数据分析专员	天河区	10:20发布	8k-15k	8k-15k 经验3-5年 / 本科	新零售	“朝阳行业、稳健平台”	消费生活 / C轮 / 2000人以上	本来生活网
74	数据分析员	龙凤	04:34发布	6k-8k	6k-8k 经验不限 / 本科	商业 数据分析	“工作生活平衡，五险一金，带薪年假”	移动互联网,数据服务 / B轮 / 50-150人	Edison Inc
