26	测试总监（QA&QC）	浦口区	17:40发布	15k-20k	15k-20k 经验5-10年 / 本科	教育 部门管理 测试管理 领导力	“福利好、行业好、年终高”	移动互联网,教育 / 不需要融资 / 150-500人	知途
27	茶海棠店长	建邺区	17:57发布	5k-7k	5k-7k 经验1-3年 / 不限	餐饮 门店管理	“八小时工作制 排班 五险 月休4天”	文娱丨内容 / A轮 / 50-150人	麦嘉兄弟文化娱乐
28	天猫运营	雨花台区	16:11发布	4k-8k	4k-8k 经验在校/应届 / 本科	电商 商家运营 淘宝运营 京东运营	“扁平化管理，团队氛围，公司福利”	电商 / 未融资 / 50-150人	千本茵
29	BI工程师	浦口区	15:44发布	12k-18k	12k-18k 经验3-5年 / 本科	金融 ETL 数据仓库	“稳定岗位,发展平台大，技术氛围好”	金融 / 上市公司 / 2000人以上	安硕信息（amarsoft）
30	产品运营	常府街	14:04发布	10k-20k	10k-20k 经验1-3年 / 本科	运营 用户运营	“大牛多,氛围好,美女多”	数据服务 / 不需要融资 / 500-2000人	帆软软件
31	活动运营	雨花台区	13:36发布	10k-16k	10k-16k 经验3-5年 / 本科	活动策划 APP运营	“行业发展前景”	消费生活 / A轮 / 150-500人	省省回头车
32	产品运营	雨花台区	13:36发布	10k-16k	10k-16k 经验3-5年 / 本科	运营	“行业发展前景”	消费生活 / A轮 / 150-500人	省省回头车
33	内容编辑	奥体	15:57发布	6k-10k	6k-10k 经验5-10年 / 大专	编辑 内容	“发展空间大,福利待遇好”	移动互联网,消费生活 / B轮 / 500-2000人	掌门集团
34	招聘助理实习生	秦淮区	18:44发布	3k-4k	3k-4k 经验在校/应届 / 本科	HR 人力资源 招聘	“早10晚7 周末双休”	教育 / A轮 / 500-2000人	Easy Group
35	高级UX交互设计师	栖霞区	10:01发布	15k-25k	15k-25k 经验5-10年 / 本科	汽车 交互	“五险一金、带薪年假、双休等等等”	汽车丨出行 / 未融资 / 500-2000人	盛腾汽车
36	电商运营	山西路	14:15发布	8k-15k	8k-15k 经验1-3年 / 不限	电商 运营	“产品好，年轻团队，快速成长，弹性工作制”	消费生活,教育 / 不需要融资 / 15-50人	爆炸实验室
37	产品运营（行业化）	玄武区	14:04发布	10k-12k	10k-12k 经验不限 / 本科	大数据 产品运营 用户运营	“平台资源 发展空间大 晋升快”	数据服务 / 不需要融资 / 500-2000人	帆软软件
38	社群运营	双龙大道	14:58发布	6k-11k	6k-11k 经验不限 / 本科	教育	“带薪年假，五险一金，生日礼金，节假日礼物”	教育 / 未融资 / 500-2000人	心田花开
39	新媒体运营	双龙大道	14:58发布	6k-11k	6k-11k 经验不限 / 大专	教育	“五险一金，新人培训，节日福利，报班优惠等”	教育 / 未融资 / 500-2000人	心田花开
40	产品经理	鼓楼区	13:06发布	10k-20k	10k-20k 经验1-3年 / 本科	产品策划 用户研究 交互设计	“发展潜力大 团队好 老板好 福利好”	移动互联网,社交 / 不需要融资 / 50-150人	小葫芦
41	微信社交电商运营	山西路	14:15发布	6k-12k	6k-12k 经验1-3年 / 不限	电商 媒体 运营 产品运营 微信运营 电商运营	“产品好，年轻团队，快速成长，弹性工作制”	消费生活,教育 / 不需要融资 / 15-50人	爆炸实验室
42	java高级开发工程师	鼓楼区	11:27发布	13k-25k	13k-25k 经验5-10年 / 本科	Java MySQL springboot springcloud	“上市公司 五险一金 周末双休 早九晚六”	企业服务,人工智能 / 上市公司 / 500-2000人	科大国创
43	文案编辑	建邺区	16:55发布	4k-6k	4k-6k 经验1年以下 / 不限	编辑 内容	“五险一金,节日福利,带薪年假,年底双薪”	移动互联网 / 未融资 / 50-150人	小小志传媒
44	产品经理	玄武区	10:27发布	8k-16k	8k-16k 经验不限 / 本科	教育 移动互联网 用户研究 产品设计 原型设计	“团队棒,个人成长快”	移动互联网,教育 / B轮 / 150-500人	扇贝
45	市场专员	玄武区	10:27发布	8k-16k	8k-16k 经验不限 / 不限	教育 移动互联网 市场 营销 市场推广 活动策划	“个人成长快,团队棒”	移动互联网,教育 / B轮 / 150-500人	扇贝
46	产品经理	安德门	09:30发布	10k-20k	10k-20k 经验1-3年 / 本科	需求分析 竞品分析 项目管理 产品设计	“良好的施展、发展平台 优厚的薪资待遇”	移动互联网,电商 / 未融资 / 50-150人	辰阔网络
47	高级产品经理	雨花台区	09:31发布	20k-30k	20k-30k 经验5-10年 / 本科	部门管理	“核心业务部门，自研项目；团队配置完整。”	移动互联网 / 天使轮 / 500-2000人	司法云平台
48	信贷专员	珠江路	08:59发布	10k-20k	10k-20k 经验不限 / 大专	投资/融资 销售 信贷	“五险一金、节日福利、生日福利、免费年检”	金融 / 不需要融资 / 2000人以上	南京大地信息
49	客户经理	建邺区	12:19发布	6k-10k	6k-10k 经验不限 / 大专	售前支持 销售 大客户销售 电话销售	“综合薪资高，五险一金，每个季度都有调薪机”	金融 / 上市公司 / 500-2000人	平安普惠
50	电商运营主管	玄武区	11:42发布	7k-12k	7k-12k 经验1-3年 / 大专	电商 天猫运营 苏宁运营	“五险一金，上下班不打卡”	电商 / 不需要融资 / 150-500人	新七天
51	java开发工程师	秦淮区	09:28发布	10k-15k	10k-15k 经验1-3年 / 大专	大数据 通信/网络设备 Java 软件开发 小程序 APP	“待遇依据个人能力”	通讯电子,硬件 / 未融资 / 15-50人	高精地基导航授时南京研究院有限公司
