30	数据分析师	浦东新区	15:57发布	20k-35k	20k-35k 经验5-10年 / 本科	数据库开发	“大数据平台,千万级用户,工作氛围好,奖金丰厚”	移动互联网,消费生活 / B轮 / 500-2000人	掌门集团
31	数据分析师	东方路	14:02发布	15k-25k	15k-25k 经验3-5年 / 本科	大数据 金融 商业 数据分析	“弹性工作，年轻化团队，行业领先平台”	移动互联网 / D轮及以上 / 150-500人	蜻蜓FM
32	高级数据分析师	虹桥	13:48发布	15k-30k	15k-30k 经验3-5年 / 本科	BI SQL 数据分析 数据运营	“公司发展前景好，人才氛围活跃”	移动互联网,消费生活 / A轮 / 50-150人	尉合
33	数据分析师	虹桥	13:48发布	13k-23k	13k-23k 经验1-3年 / 本科	移动互联网 BI SQL 数据分析 数据运营	“公司发展前景好，人才氛围活跃”	移动互联网,消费生活 / A轮 / 50-150人	尉合
34	0231CO-数据分析岗	陆家嘴	00:00发布	10k-15k	10k-15k 经验1年以下 / 本科	大数据 金融 数据分析	“五险一金,节日福利,绩效奖金,定期体检”	金融 / 上市公司 / 2000人以上	平安人寿
35	数据分析师	静安区	15:49发布	10k-18k	10k-18k 经验1-3年 / 本科	数据分析 需求分析	“免费班车，五险一金，年终奖，晋升等”	软件开发 / 不需要融资 / 150-500人	内求信息
36	高级数据分析师	平凉路	14:49发布	25k-35k	25k-35k 经验5-10年 / 本科	电商 本地生活 数据分析	“互联网,流量大,研发氛围好,扁平管理”	消费生活 / 上市公司 / 2000人以上	达达集团
37	0231VS-数据建模设计岗	陆家嘴	00:00发布	10k-15k	10k-15k 经验1-3年 / 本科	大数据 金融	“五险一金,带薪年假”	金融 / 上市公司 / 2000人以上	平安人寿
38	数据分析师	虹梅路	13:53发布	12k-16k	12k-16k 经验1-3年 / 本科	教育 用户增长 数据分析	“发展空间大”	教育,游戏 / B轮 / 2000人以上	快乐种子
39	数据分析师	洋泾	10:45发布	10k-20k	10k-20k 经验3-5年 / 本科	云计算 数据分析 物联网	“五险一金、定期团建、节日福利、芯片设计行业”	人工智能,物联网 / 不需要融资 / 50-150人	上海铨芯半导体
